"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test05_check_user_country[response2]","TestBookingAvailability.test05_check_user_country[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response3]","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response0]","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test15_check_that_the_start_date_is_before_the_end_date[response3]","TestBookingAvailability.test15_check_that_the_start_date_is_before_the_end_date[response3]",""
"failed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","49","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test03_check_api_version[response0]","TestBookingAvailability.test03_check_api_version[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test05_check_user_country[response0]","TestBookingAvailability.test05_check_user_country[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test05_check_user_country[response3]","TestBookingAvailability.test05_check_user_country[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test09_check_that_hotel_details_contains_a_valid_url[response2]","TestBookingAvailability.test09_check_that_hotel_details_contains_a_valid_url[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response0]","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response0]","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response0]","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test02_check_that_response_contains_valid_json[response1]","TestBookingAvailability.test02_check_that_response_contains_valid_json[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response3]","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response2]","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response3]","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response3]","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response3]",""
